problema;  modelo;  num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_interations; nb_linear_nonzeros; status; time; has_hit_limit 
ID000_M003_J004; manne; 3; 4; True; 23.0; 69.0; 0.6666666666657005; 48; 31; 29; 0; 132; solution limit exceeded; 0.0013129711151123047; True;  
ID000_M003_J004; minla_fav; 3; 4; True; 23.0; 56.0; 0.5892857142846619; 248; 67; 12; 0; 772; solution limit exceeded; 0.002966165542602539; True;  
ID000_M003_J004; manne; 3; 4; False; nan; 23.0; nan; 48; 31; 22; 21; 132; optimal; 0.00036716461181640625; False;  
ID000_M003_J004; minla_fav; 3; 4; False; nan; 24.49264400299227; nan; 248; 67; 42; 71; 772; optimal; 0.0009000301361083984; False;  
ID000_M003_J005; manne; 3; 5; True; 23.0; 69.0; 0.6666666666657005; 75; 46; 45; 0; 210; solution limit exceeded; 0.0017020702362060547; True;  
ID000_M003_J005; minla_fav; 3; 5; True; 23.0; 70.0; 0.6714285714276123; 490; 136; 15; 0; 1595; solution limit exceeded; 0.0028619766235351562; True;  
ID000_M003_J005; manne; 3; 5; False; nan; 23.0; nan; 75; 46; 33; 32; 210; optimal; 0.0003800392150878906; False;  
ID000_M003_J005; minla_fav; 3; 5; False; nan; 30.015134057524428; nan; 490; 136; 94; 249; 1595; optimal; 0.0025920867919921875; False;  
ID000_M015_J015; manne; 15; 15; True; 963.0; 9634.999999999998; 0.9000518941359533; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.016870975494384766; True;  
ID000_M015_J015; minla_fav; 15; 15; True; 963.0; 9543.0; 0.8990883370009337; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.1292130947113037; True;  
ID000_M015_J015; manne; 15; 15; False; nan; 963.0; nan; 3375; 1801; 1033; 1032; 9900; optimal; 0.01896810531616211; False;  
ID000_M015_J015; minla_fav; 15; 15; False; nan; 1143.483389630917; nan; 71535; 22276; 6877; 51207; 254670; optimal; 8.69465184211731; False;  
ID001_M015_J015; manne; 15; 15; True; 942.0; 9106.999999999998; 0.8965630833424739; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.015475034713745117; True;  
ID001_M015_J015; minla_fav; 15; 15; True; 942.0; 9519.0; 0.901040025212723; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.11703920364379883; True;  
ID001_M015_J015; manne; 15; 15; False; nan; 942.0; nan; 3375; 1801; 1024; 1023; 9900; optimal; 0.017826080322265625; False;  
ID001_M015_J015; minla_fav; 15; 15; False; nan; 1118.990718755717; nan; 71535; 22276; 8891; 57928; 254670; optimal; 9.602355003356934; False;  
ID002_M015_J015; manne; 15; 15; True; 921.0; 8570.999999999998; 0.8925446272313511; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.015223979949951172; True;  
ID002_M015_J015; minla_fav; 15; 15; True; 921.0; 9780.0; 0.9058282208588865; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.11733794212341309; True;  
ID002_M015_J015; manne; 15; 15; False; nan; 921.0; nan; 3375; 1801; 1146; 1145; 9900; optimal; 0.021038055419921875; False;  
ID002_M015_J015; minla_fav; 15; 15; False; nan; 1105.5259578427942; nan; 71535; 22276; 7501; 54343; 254670; optimal; 10.515716075897217; False;  
ID003_M015_J015; manne; 15; 15; True; 911.0; 8244.999999999998; 0.889508793207994; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.015482902526855469; True;  
ID003_M015_J015; minla_fav; 15; 15; True; 911.0; 8630.0; 0.894438006952481; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.11618399620056152; True;  
ID003_M015_J015; manne; 15; 15; False; nan; 911.0; nan; 3375; 1801; 1053; 1052; 9900; optimal; 0.01849198341369629; False;  
ID003_M015_J015; minla_fav; 15; 15; False; nan; 1071.005524223843; nan; 71535; 22276; 9086; 57208; 254670; optimal; 10.53101897239685; False;  
ID004_M015_J015; manne; 15; 15; True; 940.0; 8380.0; 0.8878281622911589; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.01559901237487793; True;  
ID004_M015_J015; minla_fav; 15; 15; True; 940.0; 9350.0; 0.8994652406417016; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.1151430606842041; True;  
ID004_M015_J015; manne; 15; 15; False; nan; 940.0; nan; 3375; 1801; 1057; 1056; 9900; optimal; 0.018707990646362305; False;  
ID004_M015_J015; minla_fav; 15; 15; False; nan; 1150.5056050850126; nan; 71535; 22276; 8878; 43570; 254670; optimal; 5.871901988983154; False;  
ID005_M015_J015; manne; 15; 15; True; 849.0; 9521.0; 0.9108286944648576; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.01648998260498047; True;  
ID005_M015_J015; minla_fav; 15; 15; True; 849.0; 9494.0; 0.9105751000631882; 71535; 22276; 225; 0; 254670; solution limit exceeded; 0.11719202995300293; True;  
ID005_M015_J015; manne; 15; 15; False; nan; 849.0; nan; 3375; 1801; 1108; 1107; 9900; optimal; 0.02063298225402832; False;  
ID005_M015_J015; minla_fav; 15; 15; False; nan; 1105.4358619992756; nan; 71535; 22276; 8704; 68162; 254670; optimal; 13.368133068084717; False;  
ID006_M015_J015; manne; 15; 15; True; 935.0; 9525.999999999998; 0.9018475750577273; 3375; 1801; 1800; 0; 9900; solution limit exceeded; 0.015531063079833984; True;  
